model,representation,cv_f1,val_f1,test_accuracy,test_precision,test_recall,test_f1,best_params
Naive Bayes,bow,0.4508670589474884,0.3620792428500176,0.5083333333333333,0.5072018447018447,0.5163996948893974,0.5063301594043869,{'alpha': 0.5}
Naive Bayes,ngram,0.4443384139652284,0.361562708371219,0.4833333333333333,0.4822902133826504,0.4891092465463174,0.4808673116109759,{'alpha': 1.0}
Naive Bayes,tfidf,0.4553666120255231,0.387799123693967,0.55,0.5537589394732251,0.5450673785914061,0.5435350911285209,{'alpha': 0.5}
Naive Bayes,word2vec,,0.5072463768115941,0.4333333333333333,0.4346949891067538,0.4233621493346893,0.4225575842890461,{}
Naive Bayes,fasttext,,0.4747289294412917,0.4,0.397053872053872,0.3958386303924061,0.3962962962962963,{}
Logistic Regression,bow,0.4985157372811592,0.4118329164060871,0.4916666666666666,0.4881952561854666,0.4786634460547505,0.477899877899878,"{'C': 1.0, 'class_weight': None}"
Logistic Regression,ngram,0.488191260843511,0.3909621831133458,0.4583333333333333,0.4516865079365079,0.4446139503347742,0.4421720575022461,"{'C': 0.1, 'class_weight': 'balanced'}"
Logistic Regression,tfidf,0.4930642112509552,0.4181818181818181,0.5333333333333333,0.5295178677531619,0.5341130604288499,0.531084656084656,"{'C': 0.1, 'class_weight': 'balanced'}"
Logistic Regression,word2vec,0.4838095450458033,0.4705708370304644,0.4166666666666667,0.4215214736953867,0.4179591490804306,0.4154497354497354,"{'C': 10.0, 'class_weight': 'balanced'}"
Logistic Regression,fasttext,0.4739777126351178,0.4779018525649253,0.45,0.4540215272480719,0.4509704212221375,0.4497354497354497,"{'C': 10.0, 'class_weight': 'balanced'}"
Linear SVM,bow,0.4935713010685062,0.4118329164060871,0.475,0.4744269949066213,0.4646580218662599,0.4655888380565963,"{'C': 0.05, 'class_weight': None}"
Linear SVM,ngram,0.4758030430572962,0.4000814000814001,0.4916666666666666,0.4907549638732434,0.4842147639630477,0.4853349689906631,"{'C': 0.05, 'class_weight': 'balanced'}"
Linear SVM,tfidf,0.4874849840926102,0.4059647230378937,0.5333333333333333,0.5299707602339181,0.5225230951775574,0.5186459739091318,"{'C': 0.05, 'class_weight': 'balanced'}"
Linear SVM,word2vec,0.4951934106435619,0.5070304198482715,0.4416666666666666,0.4424610979980767,0.4392109500805153,0.4375595957661571,"{'C': 1.0, 'class_weight': 'balanced'}"
Linear SVM,fasttext,0.4577811065447815,0.5110685115240319,0.4333333333333333,0.4274219036421789,0.4223874904652936,0.4164460522922286,"{'C': 1.0, 'class_weight': 'balanced'}"
SVM (RBF),bow,0.4613905274810019,0.3850230414746544,0.4833333333333333,0.507070707070707,0.4688532926519196,0.4718265605362379,"{'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
SVM (RBF),ngram,0.4776495208926607,0.3783347257031468,0.5166666666666667,0.5265364265364265,0.5008899059242308,0.5009945009945009,"{'C': 10.0, 'class_weight': None, 'gamma': 'scale'}"
SVM (RBF),tfidf,0.4636953105470566,0.4229946348046476,0.5166666666666667,0.5244373113225572,0.5054665649631325,0.5069007149115171,"{'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
SVM (RBF),word2vec,0.4834104624571808,0.457070707070707,0.425,0.4184479200608232,0.4176413255360624,0.4163692914277341,"{'C': 10.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
SVM (RBF),fasttext,0.4640402726059086,0.4720208481402512,0.45,0.4468864468864468,0.4333418086278498,0.4233216098659524,"{'C': 10.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
Random Forest,bow,0.5125611558414617,0.3454725628638672,0.475,0.4706439393939394,0.4581320450885668,0.4514778325123152,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 400}"
Random Forest,ngram,0.5143466842877203,0.3297688666109719,0.4916666666666666,0.4926142697881828,0.4761632341723875,0.472351285910608,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 400}"
Random Forest,tfidf,0.4921594535513606,0.4125500223061198,0.525,0.5219715956558062,0.5142384947876939,0.5136155073813007,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 400}"
Random Forest,word2vec,0.465917829018315,0.4269847616508951,0.4,0.3878801602986385,0.3837613357064158,0.3760975715618828,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 400}"
Random Forest,fasttext,0.4408282256722673,0.3676303691307442,0.4583333333333333,0.4652464494569757,0.4521145859818629,0.4534611809328068,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 200}"
Gradient Boosting,bow,0.4773837985682134,0.3923483923483923,0.525,0.5223736415387269,0.5152131536570895,0.5159078096864412,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}"
Gradient Boosting,ngram,0.4759091840890357,0.3340958605664488,0.5166666666666667,0.5122193622193622,0.5009534706331045,0.4923008591815931,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
Gradient Boosting,tfidf,0.4837132904061996,0.3421052631578947,0.5166666666666667,0.5128420599008835,0.4994279176201373,0.4918997945313735,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
Gradient Boosting,word2vec,0.4833745069359254,0.3594364699627857,0.4,0.3991596638655462,0.3938893126536147,0.3956340179296473,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}"
Gradient Boosting,fasttext,0.426601896484364,0.3777028195813873,0.4333333333333333,0.4411010691712446,0.4263496906517501,0.4281317113000281,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
K-Nearest Neighbours,bow,0.3513162885519539,0.3466172381835032,0.4333333333333333,0.2888888888888889,0.3966437833714721,0.3186274509803921,"{'n_neighbors': 5, 'weights': 'uniform'}"
K-Nearest Neighbours,ngram,0.3381119884310057,0.3491315866941418,0.4583333333333333,0.3152173913043478,0.4199084668192219,0.339481774264383,"{'n_neighbors': 5, 'weights': 'uniform'}"
K-Nearest Neighbours,tfidf,0.414719318673511,0.3304615705931495,0.4666666666666667,0.4475878184833409,0.4458216798033731,0.4317483069508496,"{'n_neighbors': 11, 'weights': 'uniform'}"
K-Nearest Neighbours,word2vec,0.4260366916132545,0.3155884995507637,0.4416666666666666,0.4474553224553224,0.4417111619628782,0.4413251650508534,"{'n_neighbors': 3, 'weights': 'uniform'}"
K-Nearest Neighbours,fasttext,0.4362830367882727,0.3508328062407759,0.4083333333333333,0.4041527623285132,0.3964954657174337,0.3933296480560161,"{'n_neighbors': 5, 'weights': 'distance'}"
Decision Tree,bow,0.4959746428258896,0.2902048975512244,0.45,0.431979251979252,0.4363929146537842,0.4336835748792271,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1}"
Decision Tree,ngram,0.4714716378896626,0.4174637812935685,0.4583333333333333,0.4444444444444445,0.4466903974913128,0.4424571630453983,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 3}"
Decision Tree,tfidf,0.4799856213886139,0.3266725223246962,0.425,0.4137585861723793,0.4151411136536995,0.4123076923076922,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1}"
Decision Tree,word2vec,0.4220823399812923,0.3036837376460018,0.3583333333333333,0.3590718625602346,0.3626578523603695,0.3587136068641035,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 3}"
Decision Tree,fasttext,0.3677899075787038,0.4589743589743589,0.3333333333333333,0.3345543345543345,0.3303034155436901,0.3311111111111111,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1}"
SimpleRNN,learned embedding (Word2Vec init),,0.4657878217200251,0.4166666666666667,0.4061609686609686,0.40685651326383593,0.4054486659528676,"hidden=64, epochs_to_best=7"
LSTM,learned embedding (Word2Vec init),,0.43669980812837955,0.5416666666666666,0.5375253428741801,0.5322696838715145,0.5286558258195,"hidden=64, epochs_to_best=6"
